id;first_name;last_name;email;gender;date;time_in_site;num_pages;browser;num_clicks;  cart_value  ;conversion
d7583e88-a96f-4e9a-8a5c-a1959f601d38;Yosef;Lloyd;Yosef.LLOYD3555@mail2web.com;f;29/01/2017 11:44;442;27;CHROME;106; $107,59 ;0
96550244-bec7-4e32-b6d4-7fa8af1ffeb5;Kayden;Hampton;Kay.HAMPT1551@gmail.com;m;29/01/2017 9:32;308;2;CHROME;20; $59,80 ;1
fdc525dc-1f28-49d7-8391-e867647358ae;Caiden;Alvarado;Caiden.ALVARADO9588@yahoo.com;f;25/01/2017 4:53;1205;16;CHROME;84; $319,22 ;1
c67639db-bb6e-479e-b130-34d28400a901;Gibson;Dixon;Gibso.DIXO2888@mail2web.com;f;06/01/2017 11:02;625;17;CHROME;45; $142,64 ;1
e5962164-e54b-45cd-bc3a-099d9aca84b5;Callum;Compton;Callu.COMPTO6458@yahoo.com;m;09/01/2017 4:26;270;17;EXPLORER;64; $94,36 ;1
be56af9f-0897-4cde-a553-ba294775d675;Joslyn;Ewing;Joslyn.EW6337@mail2web.com;f;16/01/2017 8:22;1817;39;EXPLORER;206; $194,73 ;0
c4eb8289-b5a6-4661-b85f-12fb8c555c2d;Randall;Short;Randall.SH2543@live.com;f;01/01/2017 12:39;523;7;CHROME;22; $117,77 ;1
41ec1d11-6a1e-4a5d-b6e5-29fc19569fd4;King;Barlow;King.BARL8943@hushmail.com;f;10/01/2017 1:08;288;13;EXPLORER;145; $106,32 ;1
408381a0-e4e5-4400-85d3-2fca60f856d1;Brennan;Fleming;Brenna.FLEMI4356@live.com;f;07/01/2017 2:08;139;7;FIREFOX;27; $153,01 ;0
1a153270-368b-4fef-9b01-e7084e302d73;Tyler;Gonzalez;Tyl.GONZALEZ6280@hushmail.com;f;29/01/2017 10:37;216;9;UNKNOWN;9; $16,50 ;0
06a63385-e28a-4465-a711-92d523360ed4;Marlene;Crane;Mar.CR6951@hushmail.com;m;13/01/2017 5:00;406;14;UNKNOWN;12; $5,51 ;0
a4d997eb-2caa-475c-b58e-5d036f5ab29d;Phoebe;Matthews;Phoebe.MATTHEWS7189@mail2web.com;m;27/01/2017 1:30;597;5;CHROME;66; $183,42 ;1
8fb4ee31-8b43-4fc9-ae31-268ad0eeb41a;Angie;Luna;Angi.LU2756@yahoo.com;m;15/01/2017 5:20;11;9;CHROME;6; $50,15 ;0
871d8141-3432-4464-a038-d673f3db0010;Lee;Good;Lee.GOOD4824@live.com;f;04/01/2017 6:15;277;9;CHROME;27; $158,83 ;0
fe8ef8b0-1ff4-44dd-be13-de05ce91c65e;Allen;Parker;Al.PARKER1155@gmail.com;m;23/01/2017 1:19;491;5;FIREFOX;4; $137,23 ;1
